S,Strike,Tau,Sigma,Call,Price
293.32000732421875,295.0,0.09041095890410959,0.23249854186725905,1,8.0
293.32000732421875,290.0,0.09041095890410959,0.23249854186725905,1,10.725
293.32000732421875,300.0,0.09041095890410959,0.23249854186725905,1,5.825
293.32000732421875,295.0,0.09041095890410959,0.23249854186725905,0,8.975
293.32000732421875,290.0,0.09041095890410959,0.23249854186725905,0,6.699999999999999
293.32000732421875,300.0,0.09041095890410959,0.23249854186725905,0,11.75
293.32000732421875,295.0,0.5315068493150685,0.23249854186725905,1,24.15
293.32000732421875,290.0,0.5315068493150685,0.23249854186725905,1,26.875
293.32000732421875,300.0,0.5315068493150685,0.23249854186725905,1,21.625
293.32000732421875,295.0,0.5315068493150685,0.23249854186725905,0,20.75
293.32000732421875,290.0,0.5315068493150685,0.23249854186725905,0,18.525
293.32000732421875,300.0,0.5315068493150685,0.23249854186725905,0,23.275
293.32000732421875,290.0,1.8547945205479452,0.23249854186725905,1,55.175
293.32000732421875,300.0,1.8547945205479452,0.23249854186725905,1,50.1
293.32000732421875,280.0,1.8547945205479452,0.23249854186725905,1,60.8
293.32000732421875,290.0,1.8547945205479452,0.23249854186725905,0,33.525000000000006
293.32000732421875,300.0,1.8547945205479452,0.23249854186725905,0,38.599999999999994
293.32000732421875,280.0,1.8547945205479452,0.23249854186725905,0,29.825
141.49000549316406,142.0,0.09041095890410959,0.2968498512361356,1,6.3
141.49000549316406,140.0,0.09041095890410959,0.2968498512361356,1,7.675
141.49000549316406,143.0,0.09041095890410959,0.2968498512361356,1,6.175
141.49000549316406,140.0,0.09041095890410959,0.2968498512361356,0,5.225
141.49000549316406,137.0,0.09041095890410959,0.2968498512361356,0,3.95
141.49000549316406,136.0,0.09041095890410959,0.2968498512361356,0,3.6500000000000004
141.49000549316406,140.0,0.43561643835616437,0.2968498512361356,1,15.775
141.49000549316406,145.0,0.43561643835616437,0.2968498512361356,1,13.15
141.49000549316406,135.0,0.43561643835616437,0.2968498512361356,1,18.375
141.49000549316406,140.0,0.43561643835616437,0.2968498512361356,0,11.55
141.49000549316406,145.0,0.43561643835616437,0.2968498512361356,0,14.025
141.49000549316406,135.0,0.43561643835616437,0.2968498512361356,0,9.375
141.49000549316406,140.0,1.7013698630136986,0.2968498512361356,1,34.25
141.49000549316406,145.0,1.7013698630136986,0.2968498512361356,1,32.275
141.49000549316406,135.0,1.7013698630136986,0.2968498512361356,1,36.325
141.49000549316406,140.0,1.7013698630136986,0.2968498512361356,0,24.075000000000003
141.49000549316406,145.0,1.7013698630136986,0.2968498512361356,0,26.2
141.49000549316406,135.0,1.7013698630136986,0.2968498512361356,0,21.675
253.0399932861328,255.0,0.09041095890410959,0.31912763299656627,1,14.675
253.0399932861328,250.0,0.09041095890410959,0.31912763299656627,1,17.475
253.0399932861328,260.0,0.09041095890410959,0.31912763299656627,1,12.65
253.0399932861328,255.0,0.09041095890410959,0.31912763299656627,0,15.774999999999999
253.0399932861328,250.0,0.09041095890410959,0.31912763299656627,0,13.575
253.0399932861328,260.0,0.09041095890410959,0.31912763299656627,0,18.65
253.0399932861328,255.0,0.5315068493150685,0.31912763299656627,1,33.6
253.0399932861328,250.0,0.5315068493150685,0.31912763299656627,1,35.925
253.0399932861328,260.0,0.5315068493150685,0.31912763299656627,1,31.025
253.0399932861328,255.0,0.5315068493150685,0.31912763299656627,0,32.1
253.0399932861328,250.0,0.5315068493150685,0.31912763299656627,0,28.875
253.0399932861328,260.0,0.5315068493150685,0.31912763299656627,0,34.675
253.0399932861328,250.0,1.7013698630136986,0.31912763299656627,1,67.675
253.0399932861328,260.0,1.7013698630136986,0.31912763299656627,1,62.2
253.0399932861328,240.0,1.7013698630136986,0.31912763299656627,1,71.4
253.0399932861328,250.0,1.7013698630136986,0.31912763299656627,0,48.525
253.0399932861328,260.0,1.7013698630136986,0.31912763299656627,0,53.825
253.0399932861328,240.0,1.7013698630136986,0.31912763299656627,0,43.5
416.5199890136719,415.0,0.09041095890410959,0.30042280407386707,1,24.15
416.5199890136719,420.0,0.09041095890410959,0.30042280407386707,1,21.55
416.5199890136719,405.0,0.09041095890410959,0.30042280407386707,1,29.049999999999997
416.5199890136719,400.0,0.09041095890410959,0.30042280407386707,0,15.8
416.5199890136719,395.0,0.09041095890410959,0.30042280407386707,0,13.95
416.5199890136719,385.0,0.09041095890410959,0.30042280407386707,0,11.05
416.5199890136719,420.0,0.6082191780821918,0.30042280407386707,1,56.45
416.5199890136719,410.0,0.6082191780821918,0.30042280407386707,1,61.25
416.5199890136719,430.0,0.6082191780821918,0.30042280407386707,1,52.4
416.5199890136719,410.0,0.6082191780821918,0.30042280407386707,0,48.55
416.5199890136719,400.0,0.6082191780821918,0.30042280407386707,0,43.65
416.5199890136719,440.0,0.6082191780821918,0.30042280407386707,0,65.1
416.5199890136719,420.0,1.7013698630136986,0.30042280407386707,1,95.0
416.5199890136719,410.0,1.7013698630136986,0.30042280407386707,1,99.0
416.5199890136719,430.0,1.7013698630136986,0.30042280407386707,1,90.75
416.5199890136719,430.0,1.7013698630136986,0.30042280407386707,0,86.0
416.5199890136719,400.0,1.7013698630136986,0.30042280407386707,0,69.75
416.5199890136719,440.0,1.7013698630136986,0.30042280407386707,0,91.75
213.0,215.0,0.09041095890410959,0.2279031396896287,1,6.3
213.0,210.0,0.09041095890410959,0.2279031396896287,1,9.1
213.0,220.0,0.09041095890410959,0.2279031396896287,1,4.25
213.0,215.0,0.09041095890410959,0.2279031396896287,0,8.7
213.0,205.0,0.09041095890410959,0.2279031396896287,0,4.55
213.0,200.0,0.09041095890410959,0.2279031396896287,0,3.1500000000000004
213.0,210.0,0.5315068493150685,0.2279031396896287,1,20.3
213.0,220.0,0.5315068493150685,0.2279031396896287,1,15.350000000000001
213.0,200.0,0.5315068493150685,0.2279031396896287,1,26.0
213.0,210.0,0.5315068493150685,0.2279031396896287,0,16.7
213.0,200.0,0.5315068493150685,0.2279031396896287,0,12.65
213.0,230.0,0.5315068493150685,0.2279031396896287,0,32.0
213.0,210.0,1.7013698630136986,0.2279031396896287,1,34.4
213.0,220.0,1.7013698630136986,0.2279031396896287,1,29.65
213.0,200.0,1.7013698630136986,0.2279031396896287,1,39.65
213.0,210.0,1.7013698630136986,0.2279031396896287,0,29.0
213.0,220.0,1.7013698630136986,0.2279031396896287,0,34.2
213.0,200.0,1.7013698630136986,0.2279031396896287,0,25.35
244.5,245.0,0.09041095890410959,0.31012593458475035,1,16.1
244.5,240.0,0.09041095890410959,0.31012593458475035,1,19.65
244.5,260.0,0.09041095890410959,0.31012593458475035,1,9.85
244.5,245.0,0.09041095890410959,0.31012593458475035,0,14.15
244.5,240.0,0.09041095890410959,0.31012593458475035,0,12.850000000000001
244.5,250.0,0.09041095890410959,0.31012593458475035,0,17.9
244.5,240.0,0.43561643835616437,0.31012593458475035,1,33.1
244.5,250.0,0.43561643835616437,0.31012593458475035,1,28.5
244.5,230.0,0.43561643835616437,0.31012593458475035,1,37.95
244.5,240.0,0.43561643835616437,0.31012593458475035,0,24.25
244.5,250.0,0.43561643835616437,0.31012593458475035,0,29.299999999999997
244.5,230.0,0.43561643835616437,0.31012593458475035,0,19.799999999999997
244.5,240.0,1.7013698630136986,0.31012593458475035,1,63.0
244.5,250.0,1.7013698630136986,0.31012593458475035,1,58.5
244.5,230.0,1.7013698630136986,0.31012593458475035,1,67.69999999999999
244.5,240.0,1.7013698630136986,0.31012593458475035,0,44.75
244.5,250.0,1.7013698630136986,0.31012593458475035,0,49.25
244.5,230.0,1.7013698630136986,0.31012593458475035,0,39.95
130.16000366210938,130.0,0.10684931506849316,0.1791360722694646,1,3.8
130.16000366210938,135.0,0.10684931506849316,0.1791360722694646,1,1.7999999999999998
130.16000366210938,125.0,0.10684931506849316,0.1791360722694646,1,7.3
130.16000366210938,130.0,0.10684931506849316,0.1791360722694646,0,3.225
130.16000366210938,135.0,0.10684931506849316,0.1791360722694646,0,5.75
130.16000366210938,125.0,0.10684931506849316,0.1791360722694646,0,1.5
130.16000366210938,130.0,0.5315068493150685,0.1791360722694646,1,10.0
130.16000366210938,135.0,0.5315068493150685,0.1791360722694646,1,6.65
130.16000366210938,125.0,0.5315068493150685,0.1791360722694646,1,12.899999999999999
130.16000366210938,130.0,0.5315068493150685,0.1791360722694646,0,6.949999999999999
130.16000366210938,135.0,0.5315068493150685,0.1791360722694646,0,9.6
130.16000366210938,125.0,0.5315068493150685,0.1791360722694646,0,5.35
130.16000366210938,130.0,1.7013698630136986,0.1791360722694646,1,17.9
130.16000366210938,135.0,1.7013698630136986,0.1791360722694646,1,15.05
130.16000366210938,125.0,1.7013698630136986,0.1791360722694646,1,20.65
130.16000366210938,130.0,1.7013698630136986,0.1791360722694646,0,13.1
130.16000366210938,135.0,1.7013698630136986,0.1791360722694646,0,15.6
130.16000366210938,125.0,1.7013698630136986,0.1791360722694646,0,12.25
295.04998779296875,300.0,0.10684931506849316,0.37048514955045636,1,13.6
295.04998779296875,290.0,0.10684931506849316,0.37048514955045636,1,18.85
295.04998779296875,310.0,0.10684931506849316,0.37048514955045636,1,9.1
295.04998779296875,300.0,0.10684931506849316,0.37048514955045636,0,17.05
295.04998779296875,290.0,0.10684931506849316,0.37048514955045636,0,12.7
295.04998779296875,310.0,0.10684931506849316,0.37048514955045636,0,22.6
295.04998779296875,300.0,0.6082191780821918,0.37048514955045636,1,41.15
295.04998779296875,320.0,0.6082191780821918,0.37048514955045636,1,32.5
295.04998779296875,250.0,0.6082191780821918,0.37048514955045636,1,69.45
295.04998779296875,300.0,0.6082191780821918,0.37048514955045636,0,39.3
295.04998779296875,320.0,0.6082191780821918,0.37048514955045636,0,50.45
295.04998779296875,340.0,0.6082191780821918,0.37048514955045636,0,63.15
295.04998779296875,300.0,0.684931506849315,0.37048514955045636,1,44.05
